Accession Number;Accession No.
Phylum;Phylum
Class;Class
Scientific Name;Scientific Name
Country;Country
ProvinceState;Province/State
Location;Location
Web_Latitude;Latitude
Web_Longitude;Longitude
UTM;UTM
Grid Ref.;Grid Reference
Datum;Datum
Reproductive Status;Reproductive Status
Depth;Depth
Habitat;Habitat
Microhabitat;Microhabitat
Date Collected;Date Collected
L_Collectors;Collector(s)
Collector Number;Collection No.
L_Determined by;Determined by
Field Notes;Notes
PreviousIdentifications;Previous Identifications
